Station_id,Latitude,Longitude,NMI,R_Squared,MAE,RMSE,NSE,pBias
6233250,56.1,14.12,0.6869735995177082,0.9628945660656749,0.01326131131864645,0.0222788645844536,0.9628945660656749,2.1610276178861136
6233780,66.02,21.96,0.7129406447156655,0.9698196418747901,0.008269354056433488,0.014097067788039158,0.9698196418747901,-8.753691631788847
6935055,47.6823,8.6259,0.872413272744791,0.8335933439710602,0.06016753286365128,0.06453974441309036,0.8335933439710602,-22.393570822957532
6338120,52.094,7.603,0.7975477402042376,0.7707292059559661,0.016773230468608347,0.019827729050269298,0.7707292059559661,-37.749656765502195
6935300,47.5166,8.2348,0.8886552950643186,0.7913138374882378,0.048634644836507486,0.05236179912216555,0.7913138374882378,-23.553436743993835
6340140,51.990129,11.882563,0.7506196056063702,0.8882956019584881,0.02255871227135235,0.027589895036877223,0.8882956019584881,-16.767277755451108
6342900,48.5824,13.504361,0.9127252687279951,0.7178768162711289,0.034352616849128464,0.03725504510842887,0.7178768162711289,-26.783744712270188
6435060,51.84,6.11,0.8314194324928942,0.8022993136318419,0.03824347157633845,0.04050504160679241,0.8022993136318419,-27.12801452496945
6342513,48.041521,10.875078,0.7518472360808764,0.7400425614945261,0.020166879408571453,0.02813946217713085,0.7400425614945261,-21.06682750450222
6342800,48.676623,13.115161,0.6387070813142892,0.8047771977475228,0.03707992054779167,0.04150300070872746,0.8047771977475228,-19.83337099130133
6943100,46.8858,10.4654,0.8384286207168441,0.8577972246363583,0.026434007374283475,0.039469201622345615,0.8577972246363583,0.06185358831697867
6233112,60.68,17.11,0.631642170529024,0.9744470220379774,0.006863785317136767,0.011432443117364844,0.9744470220379774,-3.526205081527857
6935145,46.8377,9.4561,0.8846815781515304,0.8067222005540295,0.016226448757178297,0.027207204779756192,0.8067222005540295,-11.55782924586361
6342200,47.730411,10.316864,0.7683245533823146,0.6091441412514143,0.018685234278060004,0.032715144189320776,0.6091441412514143,-13.009619390942383
6335050,51.225547,6.770183,0.7592234441488922,0.8528106558617811,0.03606016507752779,0.03925427297638969,0.8528106558617811,-20.222551058477908
6935310,47.421,8.2713,0.8905242387182587,0.9220272557496709,0.023021720654055795,0.03071695312564513,0.9220272557496709,-8.928484448327087
6340120,51.059736,13.738539,0.8496445568680617,0.8322356569361308,0.04700054701203293,0.05103190586486528,0.8322356569361308,-32.49360096865896
6340150,52.990829,11.759765,0.7940083844709114,0.9356024338641191,0.025656500894615655,0.027161300452285375,0.9356024338641191,-17.810192140543023
6343560,47.681177,12.822811,0.7303130889251714,0.6419678071166284,0.017850615889298777,0.030699309386819112,0.6419678071166284,-17.68419043703624
6731907,69.034927,18.65834,0.7911237943739882,0.9208272730168895,0.015517126528292813,0.028413142782939944,0.9208272730168895,-1.4917229325513142
6935400,47.5965,8.682,0.8826042291195347,0.45168203568541665,0.019305935381746755,0.039512320169946796,0.45168203568541665,-10.266138250477946
6336050,50.143351,7.168276,0.7707308471205275,0.8931013002805188,0.015212746447654954,0.027949160977124663,0.8931013002805188,-5.822214675139147
